idInicio,idFinal,pendiente,agregadaPor,esVerificada,esCiclovia,distancia,ponderacionRapidez,ponderacionCiclovia,ponderacionPendiente,nombreRuta,tieneIncidente
46,47,1.5,admin,false,true,456.5402526855469,0.3336051,0.052868374,0.5063179,De Estación Jipijapa a Gaspar Villarroel y Amazonas,false
47,46,-1.5,admin,false,true,456.5402526855469,0.28360513,0.052868374,0.37298462,De Gaspar Villarroel y Amazonas a Estación Jipijapa,false
47,48,1.5,admin,false,true,360.95220947265625,0.3003972,0.041799065,0.49801594,De Gaspar Villarroel y Amazonas a Amazonas - Plataforma del Norte,false
47,117,2.8,admin,false,false,440.37884521484375,0.4496572,0.85099685,0.61269206,De Gaspar Villarroel y Amazonas a Shyrys y Gaspar de Villaroel,false
48,47,-1.5,admin,false,true,360.95220947265625,0.2503972,0.041799065,0.3646826,De Amazonas - Plataforma del Norte a Gaspar Villarroel y Amazonas,false
48,49,1.5,admin,false,true,219.8567657470703,0.2513797,0.0254599,0.48576158,De Amazonas - Plataforma del Norte a Amazonas - Registro Civil,false
49,48,-1.5,admin,false,true,219.8567657470703,0.2013797,0.0254599,0.35242826,De Amazonas - Registro Civil a Amazonas - Plataforma del Norte,false
49,1,1.5,admin,false,true,63.763423919677734,0.19715182,0.007383946,0.4722046,De Amazonas - Registro Civil a Amazonas y naciones unidas,false
50,1,-1.5,admin,false,true,82.46377563476562,0.15364847,0.009549488,0.34049544,De Amazonas - Caracol a Amazonas y naciones unidas,false
50,51,2.2,admin,false,true,166.17837524414062,0.24439813,0.019243825,0.5122106,De Amazonas - Caracol a Amazonas y Japón,false
51,50,-2.2,admin,false,true,166.17837524414062,0.17106481,0.019243825,0.3166551,De Amazonas y Japón a Amazonas - Caracol,false
51,52,2.2,admin,false,false,137.68896484375,0.33450073,0.8159447,0.55973625,De Amazonas y Japón a Japón,false
51,54,-2.0,admin,false,true,292.3119201660156,0.21821778,0.033850368,0.3364989,De Amazonas y Japón a Amazonas y Atahualpa,false
52,51,-2.2,admin,false,false,137.68896484375,0.2611674,0.8159447,0.36418074,De Japón a Amazonas y Japón,false
52,53,-2.2,admin,false,false,242.2901153564453,0.29750654,0.8280577,0.37326553,De Japón a Japón y Naciones Unidas,false
53,2,-3.5,admin,false,false,265.21014404296875,0.28380242,0.8307119,0.3174784,De Japón y Naciones Unidas a Shyris y Naciones unidas,false
53,1,3.5,admin,false,false,164.84576416015625,0.36560184,0.81908953,0.6198727,De Japón y Naciones Unidas a Amazonas y naciones unidas,false
53,52,2.2,admin,false,false,242.2901153564453,0.37083986,0.8280577,0.5688211,De Japón y Naciones Unidas a Japón,false
54,51,2.0,admin,false,true,292.3119201660156,0.28488442,0.033850368,0.5142767,De Amazonas y Atahualpa a Amazonas y Japón,false
54,88,-2.0,admin,false,false,206.48255920410156,0.28840008,0.82391113,0.37904447,De Amazonas y Atahualpa a Salida Desnivel Atahualpa,false
54,55,-1.5,admin,false,true,519.53173828125,0.30548877,0.060162928,0.37845552,De Amazonas y Atahualpa a Amazonas y República,false
55,116,-1.5,admin,false,true,271.8941650390625,0.21945783,0.03148595,0.35694778,De Amazonas y República a Amazonas y Mariana de Jesus,false
55,54,1.5,admin,false,true,519.53173828125,0.35548878,0.060162928,0.51178885,De Amazonas y República a Amazonas y Atahualpa,false
55,57,3.2,admin,false,false,379.2458190917969,0.43508586,0.8439175,0.62516034,De Amazonas y República a Eloy Alfaro y República,false
55,110,-3.2,admin,false,false,1247.742431640625,0.63014066,0.9444913,0.41614628,De Amazonas y República a Plaza de las Americas,false
56,84,-2.5,admin,false,false,416.5311584472656,0.35303903,0.84823525,0.3750653,De Amazonas y Eloy Alfaro a Estación La Pradera,false
56,116,1.5,admin,false,true,193.78663635253906,0.24232276,0.022440922,0.48349735,De Amazonas y Eloy Alfaro a Amazonas y Mariana de Jesus,false
56,57,2.5,admin,false,false,245.5738067626953,0.37698063,0.828438,0.5824396,De Amazonas y Eloy Alfaro a Eloy Alfaro y República,false
56,62,1.5,admin,false,true,474.19818115234375,0.3397396,0.0549132,0.50785154,De Amazonas y Eloy Alfaro a Amazonas y Orellana,false
57,55,-3.2,admin,false,false,379.2458190917969,0.32841918,0.8439175,0.34071591,De Eloy Alfaro y República a Amazonas y República,false
57,56,-2.5,admin,false,false,245.5738067626953,0.29364732,0.828438,0.36021736,De Eloy Alfaro y República a Amazonas y Eloy Alfaro,false
57,58,2.5,admin,false,false,371.13336181640625,0.42060086,0.84297806,0.5933447,De Eloy Alfaro y República a Eloy Alfaro y Shyris,false
58,57,-2.5,admin,false,false,371.13336181640625,0.33726752,0.84297806,0.37112242,De Eloy Alfaro y Shyris a Eloy Alfaro y República,false
58,59,2.5,admin,false,false,346.8085632324219,0.41215026,0.8401612,0.591232,De Eloy Alfaro y Shyris a Eloy Alfaro y 6 de Diciembre,false
58,104,-2.0,admin,false,false,700.6204223632812,0.46006685,0.8811334,0.42196116,De Eloy Alfaro y Shyris a Portugal y Shyris,false
59,58,-2.5,admin,false,false,346.8085632324219,0.32881692,0.8401612,0.3690098,De Eloy Alfaro y 6 de Diciembre a Eloy Alfaro y Shyris,false
59,60,2.5,admin,false,false,452.0667419433594,0.44871765,0.85235035,0.60037386,De Eloy Alfaro y 6 de Diciembre a Roca roja Eloy Alfaro,false
60,59,-2.5,admin,false,false,452.0667419433594,0.3653843,0.85235035,0.37815163,De Roca roja Eloy Alfaro a Eloy Alfaro y 6 de Diciembre,false
60,61,2.5,admin,false,false,416.39044189453125,0.43632346,0.8482189,0.5972753,De Roca roja Eloy Alfaro a Eloy Alfaro - Parque Costa Rica,false
60,120,2.8,admin,false,false,176.16961669921875,0.35786915,0.82040083,0.58974504,De Roca roja Eloy Alfaro a Portugal y Eloy Alfaro,false
61,105,-2.5,admin,false,false,690.5667724609375,0.44824082,0.8799692,0.39886576,De Eloy Alfaro - Parque Costa Rica a Eloy Alfaro y Gaspar,false
61,60,-2.5,admin,false,false,416.39044189453125,0.35299015,0.8482189,0.37505308,De Eloy Alfaro - Parque Costa Rica a Roca roja Eloy Alfaro,false
61,119,8.0,admin,false,false,306.5406799316406,0.4898276,0.8354981,0.8321791,De Eloy Alfaro - Parque Costa Rica a Parque de Colores,false
61,120,-2.8,admin,false,false,249.1049346923828,0.28987405,0.82884693,0.3471907,De Eloy Alfaro - Parque Costa Rica a Portugal y Eloy Alfaro,false
62,56,-1.5,admin,false,true,474.19818115234375,0.2897396,0.0549132,0.37451822,De Amazonas y Orellana a Amazonas y Eloy Alfaro,false
62,63,1.5,admin,false,true,312.5027160644531,0.28356552,0.03618851,0.49380803,De Amazonas y Orellana a Amazonas y Colón,false
63,82,-3.5,admin,false,false,489.80426025390625,0.3618279,0.85672045,0.33698475,De Amazonas y Colón a 10 de Agosto y Colón,false
63,62,-1.5,admin,false,true,312.5027160644531,0.23356552,0.03618851,0.3604747,De Amazonas y Colón a Amazonas y Orellana,false
63,64,1.5,admin,false,true,88.87161254882812,0.20587458,0.01029153,0.4743853,De Amazonas y Colón a Amazonas y Luis Cordero,false
64,63,-1.5,admin,false,true,88.87161254882812,0.15587458,0.01029153,0.34105197,De Amazonas y Luis Cordero a Amazonas y Colón,false
64,65,1.5,admin,false,true,293.5408935546875,0.27697805,0.033992685,0.49216115,De Amazonas y Luis Cordero a Banco del Pacífico Amazonas,false
65,64,-1.5,admin,false,true,293.5408935546875,0.22697806,0.033992685,0.35882783,De Banco del Pacífico Amazonas a Amazonas y Luis Cordero,false
65,66,1.5,admin,false,true,295.8859558105469,0.27779275,0.03426425,0.49236482,De Banco del Pacífico Amazonas a Amazonas y Francisco Robles,false
66,65,-1.5,admin,false,true,295.8859558105469,0.22779274,0.03426425,0.3590315,De Amazonas y Francisco Robles a Banco del Pacífico Amazonas,false
66,67,1.5,admin,false,true,246.7007293701172,0.26070547,0.028568491,0.48809302,De Amazonas y Francisco Robles a Patria y Amazonas,false
67,66,-1.5,admin,false,true,246.7007293701172,0.21070547,0.028568491,0.3547597,De Patria y Amazonas a Amazonas y Francisco Robles,false
67,68,2.5,admin,false,true,44.522464752197266,0.20713407,0.0051558004,0.514978,De Patria y Amazonas a Entrada Ciclovía Parque Ejido,false
